posted_speed_limit,weather_condition,lighting_condition,alignment,roadway_surface_cond,num_units,crash_hour,crash_day_of_week,crash_month,sex,age,serious_accident
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,6,1,0,27.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,2,8,1,33.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,17,1,11,1,36.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,2,11,1,54.0,0
20,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,1,1,1,67.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,20,7,10,1,49.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,19,6,4,1,19.0,0
30,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,17,6,11,0,40.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,4,7,1,25.0,0
30,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,SNOW OR SLUSH,2,12,3,2,1,23.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,22,4,5,1,29.0,0
45,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,3,4,0,59.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,6,8,1,47.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,1,9,1,44.0,0
10,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,2,13,3,5,0,28.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,0,2,3,1,39.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,6,5,11,1,46.0,0
25,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,17,4,8,1,32.0,0
