posted_speed_limit,weather_condition,lighting_condition,alignment,roadway_surface_cond,num_units,crash_hour,crash_day_of_week,crash_month,sex,age,serious_accident
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,11,7,6,0,32.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,7,12,1,24.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,18,4,9,1,52.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,7,3,3,0,38.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,2,4,1,50.0,0
20,CLEAR,DUSK,STRAIGHT AND LEVEL,DRY,2,7,2,12,1,50.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,11,3,10,1,40.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,6,9,1,36.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,4,10,1,29.0,1
35,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,17,4,12,0,56.0,0
30,UNKNOWN,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,2,7,2,2,1,41.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,3,9,1,38.0,0
30,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,3,14,2,12,0,59.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,18,3,2,1,20.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,4,8,1,32.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,22,1,5,0,30.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,1,19,2,12,1,64.0,0
30,CLEAR,DAWN,STRAIGHT AND LEVEL,DRY,2,17,5,4,1,27.0,0
30,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,SNOW OR SLUSH,2,10,4,2,1,54.0,1
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,21,4,7,1,64.0,0
15,CLEAR,DUSK,STRAIGHT AND LEVEL,DRY,2,17,1,4,1,60.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,4,10,1,26.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,4,7,0,54.0,0
35,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,1,7,6,1,53.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,7,6,1,70.0,0
35,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,19,2,5,1,43.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,1,7,6,10,1,40.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,4,3,1,40.0,0
35,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,21,7,2,0,27.0,0
0,RAIN,DAYLIGHT,"CURVE, LEVEL",WET,1,15,4,4,0,50.0,0
15,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,20,2,9,1,37.0,0
30,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,SNOW OR SLUSH,2,7,3,2,0,52.0,0
25,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,23,3,11,0,31.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,SNOW OR SLUSH,3,14,4,12,1,30.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,1,5,0,40.0,0
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,19,5,1,1,33.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,3,6,1,29.0,0
30,UNKNOWN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,16,5,1,1,42.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,17,4,11,0,20.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,7,7,1,25.0,0
30,RAIN,UNKNOWN,STRAIGHT AND LEVEL,WET,2,8,3,8,1,28.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,4,1,0,45.0,0
5,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,0,6,5,1,46.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,2,5,1,69.0,0
0,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,7,7,0,51.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,7,1,1,46.0,0
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,5,6,1,21.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,18,3,6,0,29.0,0
30,CLEAR,DUSK,STRAIGHT AND LEVEL,WET,2,18,7,2,1,52.0,0
20,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,6,10,0,44.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,7,2,2,1,41.0,0
40,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,3,20,5,1,1,23.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,19,5,12,1,55.0,0
30,CLEAR,DAYLIGHT,STRAIGHT ON GRADE,DRY,2,13,4,5,1,38.0,0
30,CLEAR,DAYLIGHT,STRAIGHT ON HILLCREST,DRY,2,12,6,11,1,25.0,0
35,CLEAR,DAYLIGHT,STRAIGHT ON GRADE,DRY,2,18,3,6,0,46.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,16,2,1,1,58.0,1
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,1,9,0,18.0,0
35,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,1,1,6,1,20.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,8,7,11,0,59.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,7,4,1,34.0,1
30,CLEAR,DUSK,STRAIGHT AND LEVEL,DRY,2,16,2,12,1,30.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,3,11,0,69.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,2,1,1,38.0,0
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,UNKNOWN,2,17,3,12,0,41.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,7,5,0,29.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,4,9,0,29.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,10,3,5,1,19.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,1,11,1,59.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,6,5,1,28.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,0,4,8,1,49.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,2,6,0,41.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,13,7,9,0,23.0,1
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,16,4,6,0,34.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,3,8,0,21.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,1,5,1,33.0,0
30,SNOW,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,20,7,2,1,17.0,0
30,UNKNOWN,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,2,14,3,1,0,25.0,0
30,SNOW,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,SNOW OR SLUSH,2,23,4,11,1,31.0,0
10,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,4,9,1,60.0,0
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,20,1,3,0,29.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,2,10,0,18.0,0
30,CLEAR,DAWN,STRAIGHT AND LEVEL,DRY,4,5,7,8,0,22.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,4,5,1,37.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,22,5,7,0,65.0,0
30,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,2,11,2,3,0,30.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,18,7,9,1,37.0,0
30,CLEAR,DAWN,STRAIGHT AND LEVEL,DRY,1,21,3,6,1,24.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,15,5,6,0,48.0,0
30,CLEAR,DAWN,STRAIGHT AND LEVEL,DRY,1,6,7,12,1,23.0,0
35,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,22,7,4,0,23.0,0
5,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,18,5,8,0,46.0,0
30,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,1,7,9,1,20.0,0
30,SNOW,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,SNOW OR SLUSH,2,18,7,1,1,47.0,1
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,1,4,1,38.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,2,9,0,57.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,1,14,2,9,1,29.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,6,1,1,51.0,0
5,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,6,2,0,60.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,7,5,1,47.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,18,1,4,1,18.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,12,7,3,1,32.0,0
55,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,5,4,10,1,50.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,5,8,1,42.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,3,19,3,10,1,38.0,1
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,10,2,7,0,34.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,6,1,1,38.0,0
20,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,22,3,7,1,31.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,2,9,1,19.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,3,8,0,23.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD","CURVE, LEVEL",WET,2,19,2,10,0,29.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,23,7,6,0,58.0,0
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,6,14,3,12,1,28.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,2,7,0,22.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,1,8,1,40.0,0
15,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,6,6,1,56.0,0
30,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,21,2,6,0,34.0,0
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,3,12,1,24.0,0
35,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,13,6,11,1,32.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,19,6,10,0,17.0,0
30,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,WET,3,13,2,1,1,51.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,18,4,8,1,49.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,5,5,0,41.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,11,6,4,0,27.0,0
30,RAIN,DUSK,STRAIGHT AND LEVEL,WET,2,21,1,6,0,59.0,0
30,CLEAR,DAWN,STRAIGHT AND LEVEL,DRY,2,6,3,7,1,44.0,0
30,RAIN,DARKNESS,STRAIGHT AND LEVEL,WET,2,21,3,7,1,18.0,0
10,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,4,5,1,33.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,4,6,1,19.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,4,19,1,11,1,27.0,0
15,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,22,7,11,1,20.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,18,7,12,1,78.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,3,4,1,31.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,13,5,1,0,58.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,2,1,7,1,31.0,0
30,SNOW,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,SNOW OR SLUSH,2,20,1,2,0,27.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,0,2,7,0,45.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,18,3,5,1,33.0,0
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,3,2,1,61.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,20,5,7,0,38.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,9,4,3,1,24.0,0
30,CLEAR,DAYLIGHT,STRAIGHT ON HILLCREST,DRY,2,11,3,10,1,39.0,0
30,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,SNOW OR SLUSH,2,11,1,4,1,20.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,4,6,1,1,31.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,2,7,1,17.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,5,3,11,1,52.0,0
30,CLEAR,DAWN,STRAIGHT AND LEVEL,DRY,2,18,5,11,0,22.0,0
20,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,5,12,0,35.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,18,3,12,1,24.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,3,7,0,27.0,0
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,22,7,3,1,24.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,7,6,3,0,53.0,0
30,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",STRAIGHT ON GRADE,DRY,2,17,4,1,0,45.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,4,0,3,7,1,27.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,5,8,0,40.0,0
30,CLEAR,DUSK,STRAIGHT AND LEVEL,DRY,2,16,3,10,1,36.0,0
0,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,2,10,0,29.0,0
15,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,15,7,11,1,25.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,5,9,0,30.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,7,3,10,0,40.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,7,8,1,47.0,0
30,RAIN,DAWN,STRAIGHT AND LEVEL,WET,2,18,6,7,1,52.0,0
35,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,17,2,5,1,53.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,3,3,1,53.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,5,8,1,54.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,3,7,0,33.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,1,6,8,1,22.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,1,6,0,22.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,2,8,1,70.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,2,12,1,28.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,1,19,5,9,1,52.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,7,10,1,67.0,0
30,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,20,6,10,1,64.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,1,10,0,36.0,0
30,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,5,5,1,36.0,0
30,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,SNOW OR SLUSH,2,16,7,4,1,26.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,2,8,1,17.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,3,8,0,52.0,0
0,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,11,3,4,0,49.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,2,21,4,6,1,30.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,8,5,3,0,26.0,0
45,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,17,6,11,0,36.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,7,5,6,1,39.0,0
30,UNKNOWN,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,2,16,5,10,1,53.0,0
45,CLEAR,DARKNESS,STRAIGHT AND LEVEL,WET,1,4,1,12,1,25.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,5,9,0,35.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,3,9,1,40.0,0
30,RAIN,DUSK,STRAIGHT AND LEVEL,WET,2,17,6,1,1,42.0,0
10,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,2,7,0,47.0,0
30,CLEAR,DAWN,STRAIGHT AND LEVEL,DRY,2,16,6,2,0,70.0,0
20,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,1,20,4,5,1,26.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,6,4,1,59.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,7,3,2,1,28.0,0
10,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,5,10,1,55.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT ON HILLCREST,DRY,3,18,5,10,0,58.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,22,4,10,0,30.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,22,4,11,1,48.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,14,4,3,1,41.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,18,2,8,0,31.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,7,9,1,46.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,6,6,12,1,24.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,6,3,1,43.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,2,4,1,40.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,3,1,1,1,0,18.0,1
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,ICE,2,19,3,11,0,30.0,0
15,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,1,4,0,70.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,19,4,5,1,19.0,0
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,16,2,11,0,26.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,4,12,0,32.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,17,7,8,1,33.0,0
30,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,22,1,10,1,24.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,1,20,2,12,1,49.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,9,7,1,1,56.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,2,14,7,9,0,66.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,14,2,12,1,46.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,2,2,0,42.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,1,17,1,10,0,33.0,0
35,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,3,0,6,5,1,24.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,6,2,3,1,52.0,0
30,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,2,10,1,55.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,12,7,10,0,36.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,11,4,11,1,32.0,0
0,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,3,1,11,1,41.0,0
10,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,3,10,1,59.0,0
30,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,19,7,8,1,60.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,10,2,8,1,29.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,3,6,1,29.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,3,8,0,19.0,0
30,SNOW,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,SNOW OR SLUSH,2,18,6,1,0,30.0,0
35,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,1,21,5,6,0,41.0,0
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,13,7,1,0,40.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT ON GRADE,DRY,1,1,1,1,0,63.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,18,4,6,1,25.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,17,2,12,0,38.0,0
35,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,2,0,7,1,0,31.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,7,6,4,0,24.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,19,1,7,0,36.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,1,16,3,9,1,75.0,0
30,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,2,17,3,11,0,45.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,2,7,0,30.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,0,1,9,0,20.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,10,4,3,1,24.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,5,10,1,38.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,22,4,9,1,26.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,7,12,0,40.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,12,5,1,1,79.0,0
35,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT ON GRADE,DRY,2,21,5,10,0,36.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,1,10,1,33.0,0
40,CLEAR,DAYLIGHT,STRAIGHT ON GRADE,DRY,2,8,4,1,0,57.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,4,7,0,20.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,17,4,4,0,29.0,0
30,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,23,6,1,1,29.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,1,5,1,66.0,1
25,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,1,16,6,1,0,40.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,12,7,6,1,36.0,0
