,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_precision,train_recall,model,train_f1
0,44.2,4.5,2.4,67.9,61.9,58.9,79.3,Logistic Regression,67.6
2,44.3,4.5,2.3,67.0,61.7,58.7,78.8,Logistic Regression,67.3
